Year,emissions_total,gdp_total
1992,21377.596999999998,43100902214144.0
1993,21604.804,44254710147584.0
1994,21719.016,45812080437760.0
1995,22178.202,47587028476928.0
1996,22806.31,49599196732416.0
1997,22884.01,51565298985984.0
1998,22735.752,52817072630784.0
1999,23006.882,54776791415808.0
2000,23664.305,57586361456640.0
2001,23867.75,59280038126592.0
2002,24416.857,61292084835328.0
2003,25667.61,63808774490112.0
2004,26829.645,67375228895232.0
2005,27755.015,70853906788352.0
2006,28643.834,74903125254144.0
2007,29465.69,78977099979776.0
2008,30018.076,81319451457536.0
2009,29605.242,81334776656896.0
2010,31274.643,86090775220224.0
2011,32369.897,89676662003712.0
2012,32852.349,92217484354560.0
2013,33109.535,95037992880128.0
2014,33329.932,98061503380480.0
2015,33236.098,100790897618944.0
2016,33168.681,102529980486656.0
2017,33571.637,105511060297728.0
2018,34232.722,108603767833600.0
